,USAF,YR--MODAHRMN,TEMP,MAX,MIN,Celsius
0,29980,201705010000,37.00,,,3
1,29980,201705010100,37.00,,,3
2,29980,201705010200,37.00,,,3
3,29980,201705010300,37.00,,,3
4,29980,201705010400,39.00,,,4
5,29980,201705010500,41.00,,,5
6,29980,201705010600,44.00,44.00,35.00,7
7,29980,201705010700,45.00,,,7
8,29980,201705010800,48.00,,,9
9,29980,201705010900,51.00,,,11
10,29980,201705011000,52.00,,,11
11,29980,201705011100,51.00,,,11
12,29980,201705011200,54.00,,,12
13,29980,201705011300,49.00,,,9
14,29980,201705011400,50.00,,,10
15,29980,201705011500,52.00,,,11
16,29980,201705011600,50.00,,,10
17,29980,201705011700,52.00,,,11
18,29980,201705011800,48.00,54.00,43.00,9
19,29980,201705011900,48.00,,,9
20,29980,201705012000,46.00,,,8
21,29980,201705012100,44.00,,,7
22,29980,201705012200,42.00,,,6
23,29980,201705012300,39.00,,,4
24,29980,201705020000,38.00,,,3
25,29980,201705020100,36.00,,,2
26,29980,201705020200,36.00,,,2
27,29980,201705020300,35.00,,,2
28,29980,201705020400,40.00,,,4
29,29980,201705020500,46.00,,,8
30,29980,201705020600,50.00,50.00,34.00,10
31,29980,201705020700,54.00,,,12
32,29980,201705020800,52.00,,,11
33,29980,201705020900,53.00,,,12
34,29980,201705021000,55.00,,,13
35,29980,201705021100,55.00,,,13
36,29980,201705021200,57.00,,,14
37,29980,201705021300,60.00,,,16
38,29980,201705021400,60.00,,,16
39,29980,201705021500,59.00,,,15
40,29980,201705021600,57.00,,,14
41,29980,201705021700,56.00,,,13
42,29980,201705021800,53.00,61.00,49.00,12
43,29980,201705021900,50.00,,,10
44,29980,201705022000,49.00,,,9
45,29980,201705022100,46.00,,,8
46,29980,201705022200,46.00,,,8
47,29980,201705022300,44.00,,,7
48,29980,201705030000,42.00,,,6
49,29980,201705030100,40.00,,,4
50,29980,201705030200,39.00,,,4
51,29980,201705030300,39.00,,,4
52,29980,201705030400,42.00,,,6
53,29980,201705030500,44.00,,,7
54,29980,201705030600,47.00,53.00,38.00,8
55,29980,201705030700,50.00,,,10
56,29980,201705030800,50.00,,,10
57,29980,201705030900,53.00,,,12
58,29980,201705031000,54.00,,,12
59,29980,201705031100,56.00,,,13
60,29980,201705031200,56.00,,,13
61,29980,201705031300,56.00,,,13
62,29980,201705031400,55.00,,,13
63,29980,201705031500,54.00,,,12
64,29980,201705031600,54.00,,,12
65,29980,201705031700,53.00,,,12
66,29980,201705031800,51.00,57.00,47.00,11
67,29980,201705031900,49.00,,,9
68,29980,201705032000,48.00,,,9
69,29980,201705032100,46.00,,,8
70,29980,201705032200,45.00,,,7
71,29980,201705032300,43.00,,,6
72,29980,201705040000,41.00,,,5
73,29980,201705040100,40.00,,,4
74,29980,201705040200,38.00,,,3
75,29980,201705040300,38.00,,,3
76,29980,201705040400,40.00,,,4
77,29980,201705040500,43.00,,,6
78,29980,201705040600,45.00,51.00,37.00,7
79,29980,201705040700,47.00,,,8
80,29980,201705040800,48.00,,,9
81,29980,201705040900,49.00,,,9
82,29980,201705041000,51.00,,,11
83,29980,201705041100,49.00,,,9
84,29980,201705041200,49.00,,,9
85,29980,201705041300,51.00,,,11
86,29980,201705041400,48.00,,,9
87,29980,201705041500,48.00,,,9
88,29980,201705041600,47.00,,,8
89,29980,201705041700,46.00,,,8
90,29980,201705041800,44.00,52.00,44.00,7
91,29980,201705041900,42.00,,,6
92,29980,201705042000,40.00,,,4
93,29980,201705042100,39.00,,,4
