region,sector,gender_lead,repayment_interval,loan_amount,funded_amount,lender_count,average_count
Webuye,Agriculture,female,bullet,1302200.0,1230125.0,36305,24.605385425612194
Webuye,Agriculture,male,bullet,801225.0,737025.0,21325,17.840944063129665
Kitale,Agriculture,female,monthly,739775.0,684500.0,21236,15.767842011907861
Teso,Agriculture,female,bullet,717625.0,656100.0,18544,13.152912050102746
Matete,Agriculture,female,bullet,647200.0,598550.0,16674,20.452016204836582
Teso,Agriculture,male,bullet,575375.0,510825.0,14311,19.166162173862716
Eldoret,Agriculture,female,monthly,549475.0,510850.0,15876,22.509485399097873
Kakamega North,Agriculture,female,bullet,478100.0,452175.0,13932,15.827348465929786
Chwele,Agriculture,female,bullet,431000.0,406475.0,12832,20.15912272147329
Matete,Agriculture,male,bullet,425900.0,376900.0,10304,19.39495056166303
Likoni,Food,female,irregular,416950.0,414225.0,12692,19.73078619784546
Chwele,Agriculture,male,bullet,396850.0,366175.0,11716,9.027610084230888
Kakamega North,Agriculture,male,bullet,384700.0,349225.0,10710,18.731833597665403
Kisii,Agriculture,female,monthly,352750.0,352450.0,11017,24.13751157796467
Kapsowar,Agriculture,female,monthly,316450.0,305775.0,9744,14.347636686383519
Nkubu,Agriculture,female,monthly,291500.0,270350.0,8480,17.109684832727922
Kisii,Agriculture,male,monthly,291025.0,281450.0,8443,22.489441109749485
Chuka,Agriculture,female,monthly,275875.0,254575.0,7860,16.48074451258505
Nandi Hills,Agriculture,female,monthly,272975.0,264650.0,8306,19.64100637480222
Tiribe,Food,female,irregular,271725.0,269875.0,8452,18.276692514709215
Kerugoya,Agriculture,female,monthly,266625.0,249600.0,7855,16.102480013872942
Msambweni,Food,female,irregular,258750.0,252975.0,7563,11.097029391775184
Kisauni,Food,female,irregular,226875.0,223600.0,6819,17.88782653015778
kakamega south,Agriculture,female,bullet,220150.0,203650.0,5861,9.825489037385383
Kericho,Agriculture,female,monthly,209000.0,201100.0,6265,23.600287145660708
Kitale,Agriculture,male,monthly,204100.0,180600.0,5249,18.134100141910714
Thika,Agriculture,female,monthly,199500.0,191050.0,5869,21.290993716983554
NDHIWA,Health,female,irregular,184500.0,184500.0,5985,14.630671937609305
Kimilili,Agriculture,female,bullet,182300.0,167125.0,4300,13.175811881840795
Kenyenya,Agriculture,female,monthly,180725.0,165800.0,5249,15.319833093892704
Nyamira,Agriculture,female,monthly,177475.0,172425.0,5364,20.742951244175718
Limuru,Agriculture,female,monthly,176950.0,172025.0,5534,20.003417554468673
Machakos,Agriculture,female,monthly,164975.0,162750.0,5078,19.31666509261554
Litein,Agriculture,female,monthly,161975.0,160375.0,5095,21.19072707409649
Nairobi,Education,female,irregular,154250.0,154250.0,5015,21.942789187845307
Likoni,Clothing,female,irregular,147950.0,145300.0,4675,10.841855524014301
Nairobi,Education,male,monthly,140900.0,137650.0,4578,20.926855205134814
Sirisia,Agriculture,female,bullet,137825.0,128200.0,3143,17.15154614997854
Samburu,Food,female,irregular,137350.0,131075.0,4165,18.46466818693666
Nakuru,Agriculture,female,monthly,134600.0,132600.0,4104,11.605587001927619
Kaloleni,Food,female,irregular,134275.0,130000.0,3879,5.401553689372387
Butere,Agriculture,female,bullet,133325.0,129675.0,3380,16.817971416248618
Kisumu,Retail,female,monthly,132450.0,126925.0,3832,19.035507915399283
Sirisia,Agriculture,male,bullet,132250.0,122250.0,2834,20.48075362585149
Kimilili,Agriculture,male,bullet,131975.0,119625.0,2992,29.936283303022044
Likoni,Retail,female,irregular,127725.0,124875.0,3980,8.148472796161315
Eldoret,Agriculture,male,monthly,126700.0,110250.0,3219,10.940107849287713
Kisumu,Food,female,monthly,126600.0,124025.0,3814,26.41252553604484
Nakuru,Retail,female,monthly,124175.0,119450.0,3643,15.044627933425383
Mwambalazi,Food,female,irregular,122775.0,118725.0,3712,13.099897213779952
Nyahururu,Agriculture,female,monthly,122700.0,112375.0,3334,24.260371953723855
Butere,Agriculture,male,bullet,122500.0,118200.0,2858,9.472526831322146
Nandi Hills,Food,female,monthly,121300.0,110150.0,3329,20.35352696146715
Busia,Agriculture,male,bullet,118625.0,96475.0,3165,21.261769229547244
Nairobi,Retail,female,irregular,117775.0,117775.0,2927,19.673813650129524
Kuria East,Health,female,irregular,116100.0,116100.0,3764,22.1638268544227
Mombasa,Food,female,monthly,109825.0,103500.0,2962,14.66897798843028
Nakuru,Retail,male,monthly,109700.0,89025.0,2505,23.72520064848079
kakamega south,Agriculture,male,bullet,106975.0,96075.0,2608,16.702489903773206
karatina,Agriculture,female,monthly,106400.0,104650.0,3283,19.637402266759505
Kisumu,Retail,male,monthly,103300.0,91200.0,2641,17.010073511336387
Nakuru West,Agriculture,female,monthly,100700.0,98775.0,3142,22.22614915914097
Nairobi,Agriculture,female,bullet,100450.0,100450.0,2614,17.748695825782168
NDHIWA,Health,male,irregular,99900.0,99900.0,3245,12.377354542534908
Siongiroi,Agriculture,female,monthly,99875.0,97900.0,3090,11.549630275068333
Kuria East,Health,male,irregular,99450.0,99450.0,3084,15.983140098324167
Nakuru East,Agriculture,female,monthly,99150.0,96225.0,3104,11.423463290239154
Kisauni,Retail,female,irregular,98275.0,96525.0,2923,17.149789257136806
Nairobi,Education,female,monthly,96650.0,96650.0,3197,9.265271257650237
Nakuru,Clothing,female,monthly,96475.0,91175.0,2686,16.61743429712095
Kapsowar,Agriculture,male,monthly,95850.0,86550.0,2576,12.349007671961285
Mombasa,Retail,female,monthly,95100.0,88275.0,2567,11.501577525079487
Litein,Agriculture,male,monthly,94725.0,85250.0,2527,22.086857161476306
Machakos,Retail,female,monthly,94225.0,81975.0,2448,19.668677139644718
Samburu,Retail,female,irregular,93850.0,89450.0,2805,19.53082372436552
Molo,Agriculture,female,monthly,91000.0,87325.0,2665,16.13862070028914
Nakuru,Food,female,monthly,90300.0,87600.0,2658,18.525949329556514
Kisumu,Transportation,male,monthly,89025.0,77800.0,2325,12.1967374712633
Nairobi,Education,male,irregular,86100.0,81600.0,2419,22.050453735969683
Nkubu,Agriculture,male,monthly,85425.0,74000.0,2145,17.02158196657752
Nyamira,Agriculture,male,monthly,85225.0,79125.0,2436,20.73726392325297
Tiribe,Retail,female,irregular,83475.0,83000.0,2613,20.492688703702864
Nairobi,Retail,female,monthly,82625.0,81925.0,2046,19.600981615276464
Voi,Food,female,irregular,81875.0,81300.0,2482,18.576488406428023
Bomet,Agriculture,female,monthly,80400.0,74500.0,2390,22.16296636220558
Kericho,Agriculture,male,monthly,79800.0,74875.0,2277,11.276872462237636
Bungoma,Food,female,monthly,77950.0,69050.0,1996,14.589727938400697
Kisumu,Clothing,female,monthly,77600.0,72225.0,2210,8.516398130232087
Kilifi,Retail,female,monthly,76775.0,69475.0,1986,20.893957054113837
Lugari,Agriculture,female,bullet,76425.0,76425.0,1936,25.261739226129972
Thika,Agriculture,male,monthly,75625.0,70050.0,2155,20.05772168550948
Eldoret,Food,female,monthly,75325.0,70075.0,2147,20.036119107144902
Nakuru,Agriculture,male,monthly,75050.0,68525.0,2089,16.193653015389636
Maua,Food,female,monthly,75050.0,70975.0,1855,17.457380867476317
Narok,Agriculture,male,monthly,74700.0,67150.0,1917,13.665910352470277
Maua,Retail,female,monthly,73075.0,64300.0,1816,10.18988241430174
Mombasa,Retail,male,monthly,72225.0,56975.0,1602,14.987315627118443
Nairobi,Retail,male,irregular,70350.0,70350.0,1804,13.489785290526607
Bungoma,Agriculture,female,monthly,69400.0,63225.0,1961,13.306023616131647
Kisii,Food,female,monthly,69200.0,65850.0,1735,24.13389526220849
Kisauni,Clothing,female,irregular,69075.0,67800.0,2144,26.87055123168059
Machakos,Agriculture,male,monthly,68775.0,64650.0,1984,18.418227912002777
Kilifi,Food,female,monthly,68750.0,65525.0,1813,16.274198865153558
Nandi Hills,Agriculture,male,monthly,68150.0,64875.0,1885,7.809582235571269
Kisumu,Services,female,monthly,68125.0,66275.0,2095,15.446528215772595
Kilifi,Retail,male,monthly,67700.0,46575.0,1284,18.17380529734103
Busia,Agriculture,female,bullet,67675.0,57025.0,1984,11.788454770278454
Eldoret,Transportation,male,monthly,67275.0,49975.0,1321,20.479791025570496
Msambweni,Clothing,female,irregular,67050.0,66375.0,2089,17.35780569824582
Nakuru,Transportation,male,monthly,65325.0,57900.0,1677,6.33180511064428
Machakos,Food,female,monthly,65300.0,62650.0,1883,17.626406113989454
Lugari,Agriculture,male,bullet,64550.0,64550.0,1620,13.336260282309015
Naivasha,Retail,female,monthly,63900.0,54775.0,1512,22.633179183347504
Msambweni,Retail,female,irregular,63375.0,61200.0,1921,7.530426130040516
Nairobi,Agriculture,female,irregular,61950.0,61950.0,1836,15.332064156601216
Kitale,Food,female,monthly,61525.0,55050.0,1737,15.0188723530189
Kaloleni,Retail,female,irregular,60125.0,56200.0,1755,10.562116130170212
Voi,Retail,female,monthly,59525.0,54700.0,1475,20.324671565048728
Nairobi,Retail,male,monthly,59450.0,50575.0,1420,18.362841589049964
Chuka,Agriculture,male,monthly,58875.0,52525.0,1530,13.796886851288575
Tiribe,Agriculture,female,irregular,58225.0,57725.0,1894,17.352161349872873
Bomet,Food,female,monthly,57700.0,45800.0,1346,18.755771713402638
Likoni,Services,female,irregular,57125.0,56800.0,1825,12.248977541622192
Chuka,Food,female,monthly,57050.0,50025.0,1541,22.39707751483302
Taveta,Retail,female,monthly,55800.0,49450.0,1445,14.984581739042111
Kerugoya,Agriculture,male,monthly,54900.0,51475.0,1579,20.459422002790195
Kisauni,Services,female,irregular,54800.0,53625.0,1741,18.414628278806227
