country,address,city,postcode
United Kingdom,,Shepherds Bush,W12 9BL
United Kingdom,,London,WC2N 5EJ
United Kingdom,"CO OP, Golden Cross House",London,WC2R 0RG
United Kingdom,,London,WC2N 5HS
United Kingdom,"SAINSBURYS, 36 - 37 Strand",London,WC2N 5HY
United Kingdom,,London,WC2N 6NN
United Kingdom,"Odeon Cinema, 22-24 Leicester Square",London,WC2H 7JY
United Kingdom,"Coventry Street, Piccadilly",London,W1D 6BZ
United Kingdom,,London,WC2N 4LF
United Kingdom,"Ticket Hall, Charing Cross Road",London,WC2H 0AP
United Kingdom,,London,SW1Y 4LR
United Kingdom,,London,WC2E 7HG
United Kingdom,,London,W1J 9HU
United Kingdom,"Eastbound Platform, Bridge Street",London,SW1A 2JR
United Kingdom,"Westbound Platform, Bridge Street",London,SW1A 2JR
United Kingdom,"WHB - PREMIER INN, Belvedere Road",London,SE1 7PB
United Kingdom,,London,WC2H 9HJ
United Kingdom,,London,WC2B 6UN
United Kingdom,,London,SW1H 0BH
United Kingdom,"Odeon Cinema, BFI Imax, 1 Charlie Chaplin Walk South Bank",Waterloo,SE1 8XR
United Kingdom,"CO OP, Kingsway",London,WC2B 6LW
United Kingdom,,London,WC1A 1HB
United Kingdom,,London,W1F 7HP
United Kingdom,"SAINSBURYS, 38 Stratton Street",London,W1J 8LT
United Kingdom,,London,SE1 7LY
United Kingdom,"The Plaza, 120 Oxford Street",London,W1D 1LT
United Kingdom,"SAINSBURYS, 15 - 17 Tottenham Court Road",London,W1T 1BJ
United Kingdom,,London,W1F 7TH
United Kingdom,,London,W1T 1JN
United Kingdom,,London,W1J 5HD
United Kingdom,,London,WC1V 7DZ
United Kingdom,"CO OP, Dover House 170a Westminster Bridge Road",London,SE1 7RW
United Kingdom,,Westminster,SE1 7RW
United Kingdom,,London,W1W 8QJ
United Kingdom,,London,W1W 8DS
United Kingdom,"SAINSBURYS, 101 Waterloo Road",London,SE1 8UL
United Kingdom,"TESCO, 103 - 107 Waterloo Road",Waterloo,SE1 8UL
United Kingdom,"SAINSBURYS, Victoria House",London,WC1B 4DA
United Kingdom,"SAINSBURYS, 29 - 35 Mortimer Street",London,W1T 3JG
